ranking,percent_fem,revenue,title,poster_path,vote_average,vote_count,year,wave
1,7.8,28341469,The Shawshank Redemption,/5KCVkau1HEl7ZzfPsKAPM0sMiKc.jpg,8.5,8358,1994,3
2,57.4,213928762,Pulp Fiction,/plnlrtBUULT0rh3Xsjmpubiso3L.jpg,8.3,8670,1994,3
3,29.2,321365567,Schindler's List,/c8Ass7acuOe4za6DhSattE359gr.jpg,8.3,4436,1993,3
4,33.3,229400000,Life Is Beautiful,/74hLDKjD5aGYOotO6esUVaeISa2.jpg,8.3,3643,1997,3
5,20.3,100853753,Fight Club,/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg,8.3,9678,1999,3
6,18.2,274925095,Spirited Away,/ynXoOxmDHNQ4UAy0oU6avW71HVW.jpg,8.3,3968,2001,3
7,19.4,1004558444,The Dark Knight,/1hRoyzDtpgMU7Dz4JF22RANzQO7.jpg,8.3,12269,2008,3
8,17.6,45284974,Leon: The Professional,/z2ZyHdXw6W5GUQX68Af3bqSPNWt.jpg,8.2,4293,1994,3
9,23.9,677945399,Forrest Gump,/fI0CRxxyui5iZMcSCr0rwhAnMfP.jpg,8.2,8147,1994,3
10,36.8,46836394,GoodFellas,/oErEczcVUmJm0EPdvWsvK4g4Lv3.jpg,8.2,3211,1990,3
