ranking,percent_fem,revenue,title,poster_path,vote_average,vote_count,year,wave
1,13.8,245066411,The Godfather,/gk1IvgCYg6v5H5cps21ILSOrYER.jpg,8.5,6024,1972,2
2,37.9,108981275,One Flew Over the Cuckoo's Nest,/yMgm27NWJsNblsE6Y0px7NtUBl8.jpg,8.3,3001,1975,2
3,21.3,47542841,The Godfather: Part II,/sSuQTCZwqKrNBNIsksO9IAUoWP9.jpg,8.3,3418,1974,2
4,37.5,28262574,Taxi Driver,/ekstpH614fwDX8DUln1a2Opz0N8.jpg,8.1,2632,1976,2
5,0.0,6000000,"The Good, the Bad and the Ugly",/eWivEg4ugIMAd7d4uWI37b17Cgj.jpg,8.1,2371,1966,2
6,8.7,9440272,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,/7SixLzxcqezkZEYU8pcHZgbkmjp.jpg,8,1472,1964,2
7,36.1,13129846,To Kill a Mockingbird,/gZycFUMLx2110dzK3nBNai7gfpM.jpg,7.9,676,1962,2
8,21.2,30000000,Chinatown,/7ljxmU9L0ugUvyyg0GBkFaarjEq.jpg,7.9,939,1974,2
9,6.5,69995385,Lawrence of Arabia,/vOEbimiBaTQr9SDFfDHHWCZdZK2.jpg,7.8,870,1962,2
10,45.2,38251425,Annie Hall,/dEtjPywhDbAXYjoFfhBC4U9unU7.jpg,7.8,1044,1977,2
