Year,avg_female_cast2,sum_female_cast2
1960,2.353,513
1961,2.251,457
1962,2.087,478
1963,2.103,490
1964,2.299,584
1965,2.016,498
1966,2.029,621
1967,2.194,632
1968,1.808,611
1969,2.134,651
1970,1.877,659
1971,1.793,676
1972,1.832,698
1973,1.958,697
1974,1.977,688
1975,1.961,651
1976,2.006,668
1977,1.862,622
1978,2.106,676
1979,2.095,708
1980,2.211,796
