ranking,percent_fem,revenue,title,poster_path,vote_average,vote_count,year,wave,alt_revenue,alt_title
1,13.3,159375308,Princess Mononoke,/gzlJkVfWV5VEG5xK25cvFGJgkDz.jpg,8.2,2041,1997,3,28341469,The Shawshank Redemption
2,16.7,272742922,The Silence of the Lambs,/rplLJ2hPcOQmkFhTqUte0MkEaO2.jpg,8.1,4549,1991,3,213928762,Pulp Fiction
3,35.1,180949000,Kill Bill: Vol. 1,/v7TaX8kXMXs5yFFGR41guUDNcnB.jpg,7.7,5091,2003,3,321365567,Schindler's List
4,20.0,520000000,Terminator 2: Judgment Day,/5M0j0B18abtBI5gi2RhfjjurTqb.jpg,7.7,4274,1991,3,229400000,Life Is Beautiful
5,33.3,152159461,Kill Bill: Vol. 2,/2yhg0mZQMhDyvUQ4rG1IZ4oIA8L.jpg,7.7,4061,2004,3,100853753,Fight Club
6,27.9,183316455,Aliens,/7lh0lceTCEatJlsmiwkun5AC4OV.jpg,7.7,3282,1986,3,274925095,Spirited Away
7,21.1,60611975,Fargo,/rt7cpEr1uP6RTZykBFhBTcRaKvG.jpg,7.7,2080,1996,3,1004558444,The Dark Knight
8,58.3,25397187,Persepolis,/716HJmGsuZckWWHccdMSw4jMAak.jpg,7.7,461,2007,3,45284974,Leon: The Professional
9,32.3,146292009,The Color Purple,/ai3gXfHgHZ2MTx55VwoT8ZowRHW.jpg,7.7,345,1985,3,677945399,Forrest Gump
10,26.3,45361000,Thelma & Louise,/cQaqpwN5Nq0GNNKE1hIgYLpLlca.jpg,7.2,766,1991,3,46836394,GoodFellas
