ranking,percent_fem,revenue,title,poster_path,vote_average,vote_count,year,wave,alt_revenue,alt_title
1,13.8,245066411,The Godfather,/gk1IvgCYg6v5H5cps21ILSOrYER.jpg,8.5,6024,1972,2,250000,Persona
2,37.9,108981275,One Flew Over the Cuckoo's Nest,/yMgm27NWJsNblsE6Y0px7NtUBl8.jpg,8.3,3001,1975,2,104931801,Alien
3,21.3,47542841,The Godfather: Part II,/sSuQTCZwqKrNBNIsksO9IAUoWP9.jpg,8.3,3418,1974,2,6117812,A Woman Under the Influence
4,37.5,28262574,Taxi Driver,/ekstpH614fwDX8DUln1a2Opz0N8.jpg,8.1,2632,1976,2,1886,Cleo from 5 to 7
5,0.0,6000000,"The Good, the Bad and the Ugly",/eWivEg4ugIMAd7d4uWI37b17Cgj.jpg,8.1,2371,1966,2,7600000,The Umbrellas of Cherbourg
6,8.7,9440272,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,/7SixLzxcqezkZEYU8pcHZgbkmjp.jpg,8,1472,1964,2,24517,Vivre Sa Vie
7,36.1,13129846,To Kill a Mockingbird,/gZycFUMLx2110dzK3nBNai7gfpM.jpg,7.9,676,1962,2,13692,Daisies
8,21.2,30000000,Chinatown,/7ljxmU9L0ugUvyyg0GBkFaarjEq.jpg,7.9,939,1974,2,67182787,Coal Miner's Daughter
9,6.5,69995385,Lawrence of Arabia,/vOEbimiBaTQr9SDFfDHHWCZdZK2.jpg,7.8,870,1962,2,33800000,Carrie
10,45.2,38251425,Annie Hall,/dEtjPywhDbAXYjoFfhBC4U9unU7.jpg,7.8,1044,1977,2,1500000,3 Women
